inputs,label
"[1.4979249  0.82357718 0.98837088 2.17751119 2.92957051 1.87818752
 0.94044634 3.58629892 0.95555457 0.38364861 1.70014379 0.8257477 ]",1
"[0.73926833 0.164393   0.98837088 3.68606279 1.52101867 0.93774118
 0.         0.         0.95555457 0.         3.07210315 0.23885893]",1
"[0.73926833 0.164393   0.98837088 3.68606279 1.52101867 0.93774118
 0.         0.         0.95555457 0.         3.07210315 0.23885893]",1
"[2.76886338 0.80041289 1.26160657 3.45122496 2.75097037 0.7426089
 0.33340186 0.4684268  0.         0.         1.95325492 0.23885893]",1
"[2.91568714 3.12568241 5.45150579 7.31909267 0.66376712 0.36129973
 1.27851971 1.40825179 0.95555457 0.95555457 3.94915667 1.96408209]",1
"[1.4122991  0.67857949 1.13336857 2.34660354 2.82181094 0.60433932
 0.         1.59632969 1.29121779 0.         1.70014379 0.56811687]",1
"[0.05826548 4.93072869 4.59814147 1.40852    0.60799116 0.9348539
 0.93774118 0.63472339 0.95555457 0.         9.16142715 6.66725334]",1
"[2.06599149 0.18428168 1.1077047  1.13775601 0.41478922 2.05411147
 2.88699828 1.54220916 0.         1.73770243 1.86589586 1.47592568]",1
"[1.32672316 0.82030157 1.2659063  1.63713219 1.77095763 2.40031534
 2.82117142 0.28848835 0.33566322 1.29121779 0.24249591 1.65208463]",1
"[0.17120175 1.80827175 1.2659063  2.81492625 1.62848601 2.05411147
 1.87818752 2.94077991 0.         0.38364861 1.37195936 1.39386457]",1
"[2.06599149 0.82030157 1.2659063  3.04864773 0.21993417 1.11366513
 0.93774118 0.64551901 0.         0.         0.         0.8069758 ]",1
"[2.06599149 0.82030157 1.2659063  3.04864773 0.21993417 1.11366513
 0.93774118 0.64551901 0.         0.         0.         0.8069758 ]",1
"[1.44214022 0.18428168 0.99267061 2.81380989 1.44988588 0.91853285
 0.60433932 1.11394581 0.95555457 0.         1.11884823 0.8069758 ]",1
"[4.2424103  2.14098784 3.19722861 6.68167761 0.63731737 0.53722368
 0.34077853 2.0537708  0.         0.95555457 0.87705351 1.39596522]",1
"[2.73902226 1.66327406 1.12090861 1.70918848 4.12289543 0.78026327
 0.93774118 2.2418487  0.33566322 0.         1.37195936 0.        ]",1
"[1.38498864 5.91542326 6.85241866 0.77110493 0.69309334 0.75892994
 0.         1.2802424  0.         0.         6.089324   6.09913647]",1
